dload,dinpkt,dur,rate,dloss,dttl,sinpkt,dpkts,proto,sbytes,label,sttl,dbytes,sload,sloss,service,spkts,state
790.30181,0.075074,0.80096,9.988017,0.0,46.0,0.20024,3.0,6,720.0,0,64.0,633.0,898.92149,0.0,1,5.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,1,55.0,0.0,0.0,0.0,1,1.0,3
151.440999,0.15121,2.198876,3.638222,0.0,39.0,0.549719,3.0,6,718.0,1,64.0,333.0,326.530443,0.0,1,5.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,54.0,1,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,60.0,0,44.0,0.0,0.0,0.0,1,1.0,3
225.104918,0.117348,2.607673,3.067869,0.0,240.0,0.651918,3.0,6,711.0,0,64.0,587.0,272.656893,0.0,1,5.0,3
786.973302,0.021482,0.728106,10.987411,0.0,50.0,0.182027,3.0,6,712.0,0,64.0,573.0,977.879565,0.0,1,5.0,3
397.438138,0.106156,1.557475,5.136519,0.0,52.0,0.389369,3.0,6,716.0,0,64.0,619.0,459.718428,0.0,1,5.0,3
0.0,0.0,3.002475,1.332234,0.0,0.0,1.000825,0.0,6,312.0,0,64.0,0.0,103.91427,0.0,1,4.0,2
0.0,0.0,3.010433,1.328712,0.0,0.0,1.003478,0.0,17,1516.0,1,64.0,0.0,503.58201,0.0,0,4.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
2781.069336,207.165529,4.821167,10.578352,9.0,252.0,178.553921,24.0,tcp,1464.0,1,62.0,1748.0,2343.001221,7.0,-,28.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,49.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,0.000855,3509.877824,0.0,0.0,0.000427,0.0,6,198.0,1,64.0,0.0,231651.936402,0.0,1,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,48.0,0.0,0.0,0.0,1,1.0,3
556106.75,19.077922,10.206846,61.821251,263.0,252.0,101.05788,530.0,tcp,4612.0,1,62.0,710853.0,3579.558105,6.0,-,102.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
2852.040771,105.570203,0.628322,23.873109,1.0,252.0,62.767667,6.0,tcp,2612.0,1,254.0,268.0,29933.69531,2.0,-,10.0,FIN
380.603841,0.130659,1.489738,5.370072,0.0,42.0,0.372434,3.0,6,663.0,0,64.0,567.0,445.044703,0.0,1,5.0,3
9637.901367,61.511811,1.299868,33.080282,9.0,252.0,61.898475,22.0,tcp,1174.0,1,62.0,1640.0,6899.162109,7.0,-,22.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,0.020176,99.12683,0.0,0.0,0.020176,0.0,6,132.0,0,64.0,0.0,6542.370789,0.0,1,2.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,42.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,0.004,500.006437,0.0,0.0,0.004,0.0,6,108.0,1,64.0,0.0,27000.347619,0.0,1,2.0,3
396.310379,0.143566,1.705734,4.690064,0.0,42.0,0.426433,3.0,6,713.0,1,64.0,676.0,418.001924,0.0,1,5.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,55.0,0.0,0.0,0.0,1,1.0,3
997.411621,346.753156,2.486436,6.837096,1.0,252.0,276.270667,8.0,tcp,814.0,1,254.0,354.0,2358.395752,2.0,http,10.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
10118.29102,78.779109,0.807251,23.53667,2.0,252.0,89.694556,10.0,tcp,1250.0,1,254.0,1134.0,11148.94922,2.0,http,10.0,FIN
23223.752438,0.005049,0.025448,314.365515,0.0,58.0,0.007972,4.0,6,653.0,1,64.0,591.0,25660.085181,0.0,1,4.0,3
0.0,0.0,3e-06,333333.3215,0.0,0.0,0.003,0.0,dgp,200.0,1,254.0,0.0,266666656.0,0.0,-,2.0,INT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,246.0,0.0,0.0,0.0,1,1.0,3
10816.61914,41.32782,2.564942,148.541377,8.0,252.0,8.04057,62.0,tcp,397727.0,1,62.0,3524.0,1236628.375,157.0,smtp,320.0,FIN
56209.76563,36.776,0.265292,64.080337,2.0,252.0,29.476889,8.0,tcp,1200.0,1,62.0,2130.0,32567.88867,2.0,-,10.0,FIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,1,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,1.1e-05,90909.0902,0.0,0.0,0.011,0.0,udp,168.0,1,254.0,0.0,61090908.0,0.0,-,2.0,INT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,58.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
3993.674561,156.754672,1.540436,13.632504,2.0,252.0,140.039631,10.0,tcp,986.0,1,254.0,854.0,4694.774414,3.0,-,12.0,FIN
4692.032715,71.393398,0.381924,54.984761,1.0,252.0,22.8792,6.0,tcp,10308.0,1,254.0,268.0,202427.7031,5.0,http,16.0,FIN
14473.716723,0.007762,0.041316,169.424778,0.0,57.0,0.00957,4.0,6,584.0,0,64.0,598.0,14134.867167,0.0,1,3.0,3
269.93597,0.137588,2.545048,3.143359,0.0,42.0,0.636262,3.0,6,711.0,0,64.0,687.0,279.366047,0.0,1,5.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
203.627173,0.01765,3.761777,2.126655,0.0,56.0,0.940444,3.0,6,900.0,0,64.0,766.0,239.248637,0.0,1,5.0,3
1195.57118,0.04136,1.011232,7.911141,0.0,56.0,0.252808,3.0,6,712.0,0,64.0,1209.0,704.091547,0.0,1,5.0,3
616.563638,0.065547,1.132081,7.066632,0.0,56.0,0.28302,3.0,6,1128.0,1,64.0,698.0,996.395106,0.0,1,5.0,3
9644.576172,69.36043,0.521744,36.416326,2.0,252.0,47.34718,8.0,tcp,994.0,1,254.0,718.0,13983.86914,3.0,-,12.0,FIN
498.684114,0.020121,1.171082,7.6852,0.0,230.0,0.292771,4.0,6,732.0,0,64.0,584.0,625.062965,0.0,1,5.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,3
0.0,0.0,2e-06,500000.0013,0.0,0.0,0.002,0.0,iso-ip,200.0,1,254.0,0.0,400000000.0,0.0,-,2.0,INT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,54.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,57.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,60.0,1,249.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,66.0,0,64.0,0.0,0.0,0.0,1,1.0,1
482.453593,0.013342,1.179388,6.783179,0.0,55.0,0.294847,3.0,6,718.0,0,64.0,569.0,608.790298,0.0,1,5.0,3
0.0,0.0,0.000471,4247.396456,0.0,0.0,0.000471,0.0,6,148.0,0,240.0,0.0,314307.337722,0.0,1,2.0,3
0.0,0.0,8e-06,125000.0003,0.0,0.0,0.008,0.0,unas,200.0,1,254.0,0.0,100000000.0,0.0,-,2.0,INT
0.0,0.0,1.171427,2.560979,0.0,0.0,390.475656,0.0,cbt,360.0,1,254.0,0.0,1843.904907,0.0,-,4.0,INT
0.0,0.0,1e-05,100000.0025,0.0,0.0,0.01,0.0,udp,228.0,1,254.0,0.0,91200000.0,0.0,-,2.0,INT
886.474286,0.050916,1.364958,5.860987,0.0,120.0,0.341239,3.0,6,712.0,0,64.0,1210.0,521.627845,0.0,1,5.0,3
1423.846313,237.651719,1.741761,9.760237,1.0,252.0,186.538111,8.0,tcp,740.0,1,254.0,354.0,3058.973145,2.0,-,10.0,FIN
169.485025,0.074637,2.289288,3.494537,0.0,50.0,0.572322,3.0,6,722.0,0,64.0,388.0,315.381927,0.0,1,5.0,3
