id,service,state,spkts,dpkts,dbytes,sload,sloss,dloss,swin,dwin,smean,dmean,trans_depth,response_body_len,is_ftp_login,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_state_ttl,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_src_ltm,ct_flw_http_mthd,ct_ftp_cmd,flow_id
47943,0,5,6,0,0,143.42975927572195,0,0,0.0,0.0,4015.9029960632324,0.0,0,0,0,1,1,1,125,9.393967151641846,9.393967151641846,6,6,0,0,192.168.1.1:0-224.0.0.1:0-2
22665,60760,5,34,32,3401,1021.0226030507289,0,0,0.0,0.0,881.2043305599328,936.9135133681758,0,0,0,0,1,4,125,0.06353902816772461,0.28362107276916504,66,66,0,0,172.224.53.6:443-192.168.1.123:60760-17
46939,51755,1,2,2,483,364266.06672355963,1,0,16.0,2048.0,12.01319694519043,0.2639293670654297,0,0,0,0,1,4,24,0.06360697746276855,27.614012956619263,4,4,0,0,104.17.107.108:443-192.168.1.123:51755-6
46312,56137,5,3,3,249,87.43081329526096,0,0,0.0,0.0,10056.219458580017,10055.717468261719,0,0,0,0,1,4,125,0.06368184089660645,6.700784921646118,6,6,0,0,172.224.53.4:443-192.168.1.123:56137-17
54857,54913,5,4,5,417,94.74905147574287,0,0,0.0,0.0,8221.576690673828,6165.943741798401,0,0,0,0,1,4,125,0.06371116638183594,0.06371116638183594,9,9,0,0,172.224.196.135:443-192.168.1.123:54913-17
37055,443,1,2,2,172,23345.04397054848,1,0,2048.0,1039.0,59.96990203857422,0.4169940948486328,0,0,0,0,3,1,24,15.982150077819824,0.008150100708007812,56,8,0,0,192.168.1.123:51615-35.186.224.41:443-6
40571,443,5,8,7,861,77456.63034367142,0,0,0.0,0.0,5.779879433768136,5.919655164082845,0,0,0,0,3,1,125,16.385673999786377,0.008244991302490234,56,15,0,0,192.168.1.123:50584-8.8.8.8:443-17
28579,443,5,8,9,4020,92136.86485653024,0,0,0.0,0.0,61.63385936192104,53.18886041641235,0,0,0,0,3,1,125,15.941575050354004,0.008306026458740234,56,31,0,0,192.168.1.123:54315-35.186.224.26:443-17
26077,443,1,9,5,1176,213985.6312248405,7,3,16161.222222222223,26839.8,12.659728527069092,15.107572078704834,0,0,0,0,3,1,24,15.941601991653442,0.008332967758178711,56,31,0,0,192.168.1.123:51841-35.186.224.26:443-6
39081,443,1,2,2,160,28906.9368535513,1,0,2048.0,1047.0,45.38702964782715,15.086174011230469,0,0,0,0,3,1,24,15.982391119003296,0.008391141891479492,56,8,0,0,192.168.1.123:51534-35.186.224.41:443-6
26939,56700,5,2,0,0,1280000.0,0,0,0.0,0.0,0.3609657287597656,0.0,0,0,0,1,2,2,125,7.550875186920166,7.550875186920166,2,4,0,0,192.168.1.49:56700-255.255.255.255:56700-17
12352,9999,5,2,0,0,1632000.0,0,0,0.0,0.0,0.38695335388183594,0.0,0,0,0,0,2,2,125,7.550894021987915,7.550894021987915,2,4,0,0,192.168.1.49:42284-255.255.255.255:9999-17
35986,443,1,1,1,66,21016.76442341151,0,0,2048.0,832.0,0.0,0.0,0,0,0,0,3,1,24,5.228270053863525,0.008480072021484375,56,2,0,0,192.168.1.123:51717-35.186.224.24:443-6
43336,57621,5,1,0,0,688000.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,3,1,125,3.22279691696167,0.008513927459716797,1,1,0,0,192.168.1.123:57621-192.168.1.255:57621-17
12566,5353,5,1,0,0,696000.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,3,1,125,0.00852203369140625,0.00852203369140625,1,1,0,0,192.168.1.123:5353-224.0.0.251:5353-17
